gene,ensembl_id,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage
KMT2C,ENSG00000055609,1,1,1196,98.84297520661156,454,99.34354485776804,1292,98.02731411229136
ZNF292,ENSG00000188994,1,1,1194,98.67768595041322,457,100.0,1313,99.6206373292868
SETBP1,ENSG00000152217,1,0,1192,98.51239669421489,456,99.78118161925602,1307,99.16540212443095
FOXP1,ENSG00000114861,1,1,1189,98.26446280991736,339,74.17943107221006,979,74.27921092564492
MBD5,ENSG00000204406,1,1,1182,97.68595041322314,453,99.12472647702408,1296,98.33080424886192
ATRX,ENSG00000085224,1,0,1174,97.02479338842976,450,98.46827133479212,1314,99.69650986342944
DPYSL2,ENSG00000092964,1,0,1167,96.44628099173552,453,99.12472647702408,1305,99.01365705614568
HNRNPU,ENSG00000153187,1,1,1166,96.36363636363636,446,97.5929978118162,1274,96.66160849772382
NCOA1,ENSG00000084676,1,0,1161,95.9504132231405,446,97.5929978118162,1263,95.82701062215476
NF1,ENSG00000196712,1,1,1157,95.6198347107438,439,96.06126914660832,1279,97.04097116843704
TBL1XR1,ENSG00000177565,1,0,1134,93.7190082644628,422,92.34135667396062,1210,91.80576631259484
WAC,ENSG00000095787,1,1,1126,93.05785123966942,430,94.09190371991248,1194,90.5918057663126
KDM5B,ENSG00000117139,1,0,1118,92.39669421487604,450,98.46827133479212,1303,98.8619119878604
ANP32A,ENSG00000140350,1,0,1112,91.900826446281,436,95.40481400437636,1294,98.17905918057664
NIPBL,ENSG00000164190,1,1,1111,91.8181818181818,426,93.21663019693656,1228,93.17147192716236
ASH1L,ENSG00000116539,1,0,1110,91.73553719008264,429,93.87308533916848,1250,94.84066767830043
ANKRD11,ENSG00000167522,1,1,1088,89.91735537190083,441,96.49890590809628,1253,95.06828528072838
PTEN,ENSG00000171862,1,1,1087,89.83471074380165,384,84.02625820568927,1125,85.3566009104704
NBEA,ENSG00000172915,1,1,1082,89.42148760330579,436,95.40481400437636,1311,99.46889226100151
CSNK2A1,ENSG00000101266,1,1,1079,89.17355371900827,419,91.68490153172868,1208,91.65402124430956
NRXN3,ENSG00000021645,1,0,1079,89.17355371900827,268,58.64332603938731,542,41.12291350531108
POGZ,ENSG00000143442,1,1,1075,88.84297520661157,399,87.30853391684902,1185,89.90895295902884
DYRK1A,ENSG00000157540,1,1,1061,87.68595041322314,384,84.02625820568927,1110,84.2185128983308
CASK,ENSG00000147044,1,0,1060,87.60330578512396,418,91.46608315098467,1247,94.61305007587254
MYCBP2,ENSG00000005810,1,0,1051,86.85950413223141,393,85.99562363238512,1215,92.18512898330803
CTNNB1,ENSG00000168036,1,0,1046,86.44628099173553,378,82.71334792122538,1102,83.61153262518968
BCL11A,ENSG00000119866,1,1,1020,84.29752066115702,448,98.03063457330416,1312,99.54476479514416
TAOK1,ENSG00000160551,1,1,1012,83.63636363636364,411,89.93435448577681,1206,91.50227617602428
KMT5B,ENSG00000110066,1,0,1003,82.89256198347107,395,86.43326039387308,1174,89.07435508345979
SMARCA4,ENSG00000127616,1,0,997,82.39669421487604,418,91.46608315098467,1252,94.99241274658574
ARX,ENSG00000004848,1,1,980,80.99173553719008,168,36.76148796498906,56,4.24886191198786
YY1,ENSG00000100811,1,1,979,80.9090909090909,361,78.99343544857769,1102,83.61153262518968
GIGYF2,ENSG00000204120,1,0,967,79.91735537190083,376,82.27571115973741,1067,80.95599393019727
KCNQ3,ENSG00000184156,1,0,959,79.25619834710744,440,96.2800875273523,1294,98.17905918057664
CREBBP,ENSG00000005339,1,1,955,78.92561983471074,368,80.52516411378556,1027,77.92109256449166
SHANK2,ENSG00000162105,1,0,931,76.94214876033058,349,76.36761487964989,1110,84.2185128983308
TBCK,ENSG00000145348,1,1,902,74.54545454545455,352,77.02407002188184,1020,77.38998482549317
NEXMIF,ENSG00000050030,1,0,879,72.64462809917356,246,53.82932166301969,824,62.51896813353566
NLGN4X,ENSG00000146938,1,0,871,71.98347107438016,279,61.05032822757112,835,63.3535660091047
DDX3X,ENSG00000215301,1,1,851,70.3305785123967,316,69.14660831509846,923,70.03034901365706
HECTD4,ENSG00000173064,1,0,836,69.0909090909091,404,88.40262582056893,1269,96.28224582701064
SMARCA1,ENSG00000102038,1,0,811,67.02479338842976,223,48.796498905908095,605,45.90288315629742
ELAVL3,ENSG00000196361,1,0,802,66.28099173553719,432,94.52954048140045,1286,97.57207890743553
VEZF1,ENSG00000136451,1,0,757,62.56198347107438,297,64.9890590809628,749,56.82852807283764
UPF3B,ENSG00000125351,1,1,748,61.81818181818182,300,65.64551422319475,920,69.80273141122913
NSD1,ENSG00000165671,1,1,741,61.239669421487605,263,57.5492341356674,837,63.50531107738998
ABCE1,ENSG00000164163,1,0,717,59.25619834710744,207,45.29540481400438,685,51.97268588770865
ASTN1,ENSG00000152092,1,0,705,58.26446280991736,209,45.73304157549234,905,68.66464339908953
DNMT3A,ENSG00000119772,1,1,628,51.900826446281,210,45.951859956236326,703,53.338391502276174
IRF2BPL,ENSG00000119669,1,1,617,50.99173553719008,165,36.10503282275711,821,62.29135053110774
